set_id,design_id,label,stable,axis_null_count,channel_axis_null_count,wall_cusp_count,cell_count,four_wall_cusps,four_cells,wall_cusp_z_m,wall_cusp_z_over_length,cell_lengths_m,wall_mirror_ratio_min,wall_mirror_ratio_max,axis_mirror_ratio_min,axis_mirror_ratio_max,angle_to_wall_normal_deg_min,angle_to_wall_normal_deg_max,max_wall_intersection_shift_m,max_axis_null_shift_m,wall_radius_m,chamber_length_m,stage_pitch_m,stage_count
four_cell_v2,v2-031,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.016653877617216612,0.7204510321882969,0.016653877617216612;0.006462027382783387,3.3736112119809065,5.556011800133129,1.1118773553328851,7.540873739171125,23.601085455372054,23.601085455372054,8.647994058072483e-06,9.761070920613624e-06,0.00692,0.023115905,0.004651,4
four_cell_v2,v2-032,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.018150348502863373,0.6957386607858842,0.018150348502863373;0.007937534097136628,1.9772525016851843,7.134339071555669,1.2219889084656281,6.739504525087446,20.6196151678436,20.6196151678436,7.029238391700887e-06,1.214743736387136e-05,0.007319999999999999,0.0260878826,0.005451,4
four_cell_v2,v2-033,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.0178955514618431,0.7164442014235795,0.0178955514618431;0.0070827391381569,3.0098840503520212,5.835284690644067,1.187596913563727,8.087791177196255,23.207052489370984,23.207052489370984,2.55429507920249e-06,3.3541224506300482e-06,0.007719999999999999,0.0249782906,0.005051,4
four_cell_v2,v2-034,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.015421028574580288,0.7267947659232817,0.015421028574580288;0.005796830025419709,3.9817455601353084,5.297790155886515,1.3220964639194237,11.299978573008836,25.203969623807215,25.203969623807215,2.9197583216195727e-06,3.2202746765713774e-06,0.0077859999999999995,0.021217858599999997,0.004251,4
four_cell_v2,v2-035,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.017471886353080026,0.7169463271940941,0.017471886353080026;0.006897980246919972,2.4201933153947355,6.244558830196996,1.4474224652800423,10.018110776047232,22.45612540886796,22.45612540886796,2.252410104649355e-06,5.1051463786297435e-06,0.008185999999999999,0.024369866599999998,0.004850999999999999,4
four_cell_v2,v2-036,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01838767216951107,0.6784329145770754,0.01838767216951107;0.00871548243048893,1.2856696877632314,11.380847336168612,2.044350811132093,9.947301468461076,17.875538511989404,17.875538511989404,1.9775493829213286e-06,6.189807585273155e-06,0.008586,0.0271031546,0.005651,4
four_cell_v2,v2-037,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01879670621902086,0.7536098048465644,0.01879670621902086;0.006145519980979133,1.9431720732590212,6.420751732979392,0.8143045234582186,26.39799474389555,43.83156522949703,43.83156522949703,2.85732844001671e-06,6.576657981517686e-06,0.008986,0.024942226199999994,0.005250999999999999,4
four_cell_v2,v2-038,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,0,1,2,False,False,0.017011201203715836,0.7680377037947909,0.017011201203715836;0.005137712996284162,1.6789822891682367,6.214448740647999,1.0389267473584654,2.940374506832573,46.85988999881996,46.85988999881996,5.834340568462021e-06,1.4872969199636321e-05,0.009386,0.022148914199999998,0.004451,4
four_cell_v2,v2-039,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01768434148765662,0.7375475499266392,0.01768434148765662;0.006292880712343379,1.7870447757576464,6.077700448118254,1.0257640168518765,9.023819610354582,32.478782625601156,32.478782625601156,1.2358390460376345e-05,1.423191752749492e-05,0.006986,0.0239772222,0.004751,4
four_cell_v2,v2-040,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.019041314550070493,0.7102468947687853,0.019041314550070493;0.007768115649929505,1.4285207343497097,8.0770800202586,1.1054751408430945,8.765959350416122,29.290132864747303,29.290132864747303,1.7544534274480106e-06,2.5727312756088083e-06,0.007385999999999999,0.026809430199999998,0.0055509999999999995,4
